1	YGR244C	760	Fungi
2	YDR221W	591	Fungi
3	YNL269W	1	Saccharomyces cerevisiae
4	YNL249C	713	Fungi
5	YPL065W	741	Fungi
6	YEL016C	718	Fungi
7	YMR099C	739	Fungi
8	YHR133C	236	Fungi
9	YOR301W	703	Fungi
10	YMR078C	737	Fungi
11	YEL073C	7	Saccharomycetaceae
12	YNL015W	559	Fungi
13	YDR326C	348	Fungi
14	YGR284C	747	Fungi
15	YNL257C	517	Fungi
16	YDL086W	612	Fungi
17	YJR049C	763	Fungi
18	YIL109C	786	Fungi
19	YPR093C	223	Fungi
20	YOR263C	2	Ascomycota
21	YKL195W	43	Fungi
22	YPL105C	64	Fungi
23	YMR230W-A	2	Saccharomyces
24	YML055W	675	Fungi
25	YDR456W	740	Fungi
26	YBR265W	787	Fungi
27	YHR066W	743	Fungi
28	YGR128C	90	Saccharomycetales
29	YLR455W	135	Fungi
30	YGL035C	28	Fungi
31	YOR359W	38	Saccharomycetales
32	YDR021W	795	Fungi
33	YJR039W	33	Saccharomycetaceae
34	YLR233C	69	Ascomycota
35	YNL316C	697	Fungi
36	YJL147C	37	Saccharomycetaceae
37	YJL098W	649	Fungi
38	YBR113W	4	Fungi
39	YNL248C	713	Fungi
40	YNL216W	57	Saccharomycetales
41	YLR110C	80	Saccharomycetales
42	YGR044C	292	Fungi
43	YHL007C	628	Fungi
44	YOR198C	729	Fungi
45	YOL002C	770	Fungi
46	YML075C	743	Fungi
47	YBR127C	793	Fungi
48	YER090W	762	Fungi
49	YPL222W	725	Fungi
50	YER104W	25	Ascomycota
51	YGL086W	476	Fungi
52	YBR242W	739	Fungi
53	YBL006C	36	Saccharomycetaceae
54	YDR083W	756	Fungi
55	YBR208C	467	Fungi
56	YJL139C	774	Fungi
57	YJR005W	766	Fungi
58	YOL007C	70	Ascomycota
59	YGR273C	200	Ascomycota
60	YML130C	765	Fungi
61	YOR280C	741	Fungi
62	YEL052W	750	Fungi
63	YOR140W	16	Saccharomycetales
64	YIL107C	762	Fungi
65	YBL089W	789	Fungi
66	YLR309C	462	Fungi
67	YBR257W	672	Fungi
68	YPL146C	722	Fungi
69	YKR060W	714	Fungi
70	YIL165C	572	Fungi
71	YJR052W	751	Fungi
72	YOR297C	746	Fungi
73	YER041W	485	Fungi
74	YOR110W	659	Fungi
75	YLR346C	7	Saccharomyces
76	YLR266C	128	Fungi
77	YDR429C	752	Fungi
78	YPR082C	763	Fungi
79	YOR262W	789	Fungi
80	YAL047W-A	1	Saccharomyces cerevisiae
81	YPL115C	446	Fungi
82	YPL165C	298	Fungi
83	YDL205C	752	Fungi
84	YCR057C	793	Fungi
85	YER062C	740	Fungi
86	YMR102C	621	Fungi
87	YCR035C	350	Fungi
88	YMR221C	516	Fungi
89	YOR114W	29	Saccharomycetales
90	YDR471W	752	Fungi
91	YPL159C	44	Ascomycota
92	YGR072W	140	Fungi
93	YPR121W	698	Fungi
94	YGL141W	749	Fungi
95	YML016C	788	Fungi
96	YHR068W	783	Fungi
97	YKL077W	143	Fungi
98	YMR006C	720	Fungi
99	YIL117C	74	Fungi
100	YGL090W	30	Ascomycota
101	YBR212W	743	Fungi
102	YOR068C	2	Fungi
103	YCR073W-A	761	Fungi
104	YDR172W	794	Fungi
105	YNL073W	792	Fungi
106	YER053C-A	19	Saccharomycetales
107	YPR004C	745	Fungi
108	YLR031W	38	Saccharomycetales
109	YNL123W	570	Fungi
110	YBR083W	30	Fungi
111	YDR001C	779	Fungi
112	YPR114W	708	Fungi
113	YNL119W	492	Fungi
114	YDR383C	31	Saccharomycetaceae
115	YCR091W	794	Fungi
116	YJL182C	4	Ascomycota
117	Q0010	1	Saccharomyces cerevisiae
118	YMR194C-B	386	Fungi
119	YNR070W	790	Fungi
